순번,Q,A
17090,푸쉬케스,"긴급근접항공지원의 형태 중 한 가지로, 적 지상군이 지상에 많이 존재하는 상태에서 이들의 진격을 저지하고 지상군을 최대로 지원하기 위하여 배당된 근접항공지원 자산을 재출격률에 의거하여 신속히 출동시킨 후 공중대기시키면서 지상군이 요구하는 시간 및 지점에 투입하고 잔여자산은 예비표적 또는 킬박스(kill box)로 임무전환시키는 등의 적극적이고 공세적인 근접 항공지원 형태이다. 기본적으로는 적의 빠른 진격을 제지하기 위한 방어적인 목적으로 운용되나, 작전 운용상 상당히 적극적이고 공세적인 형태를 띠게 된다."
17167,프로그미사일,"구 소련 최초의 실용 단거리 유도탄으로, 1형부터 7형까지 존재하고 있다. 별도의 유도시스템을 장착하지 않은 스핀안정 유도 방식이며, 사거리는 50km에서 70km 정도이다. 최초 모델이 1957년부터 소련 및 동구권에 배치되기 시작하였다. 가장 오래 사용된 것은 프로그 3형으로, 초기모델은 약 250kg의 고폭탄두나 핵탄두를 장착하였으나, 1975년경 탄두중량이 450kg로 개량되었다. 프로그 시리즈 중 최신형인 7형은 1965년부터 배치(공표는 1967년)되기 시작하였으며, 비행중 사정거리를 조정할 수 있는 스피드 브레이크를 갖고 있는 점이 가장 큰 특징이다. 도플러 레이더와 라디오 지령시스템을 장착하고 있으며, 8륜 차량에 탑재하여 운용하고 있다. 1969년부터는 북한에도 배치된 것으로 알려지고 있다."
17292,하이로우믹스,"항공전력의 운용에 있어 하이엔드 전력과 로우엔드 전력을 혼합하여 이용하는 방식을 가리킨다. 하이엔드 전력은 고가, 고성능에 주로 높은 폭장능력을 가진 기체로 전략적 목표를 수행하며, 로우엔드 전력은 하이엔드 전력을 보조, 호위하는 기능을 가진 항공기로 비교적 소형, 경량이고 하이엔드 전력에 비하여 저가인 항공기를 이용한다. 미 공군이 F-15(하이엔드 전력)와 F-16(로우엔드 전력)을 같이 운용하려던 것이 대표적인 예이며, 한국 공군에서 최초로 하이로우 믹스 개념으로 운용했던 항공기는 F-4(하이엔드 전력)와 F-5(로우엔드 전력)였다."
17316,하천전투,"하천을 사이에 두고 벌어지는 전투를 가리킨다. 이 경우 일반적으로 공격하는 측은 하천의 도하를 시도하며, 방어하는 측은 공격자측의 도하를 막는 형태로 전투가 진행되는 것이 일반적이다. 또한 이로 인해 일반적으로 하천전투에서는 공격하는 측이 도하지점 확보 및 교두보 건설을 시도하는 지점에서 가장 치열한 전투 및 전투력 집중이 일어나게 된다. 하천은 작전수행에 있어 장애물로 작용하기 때문에 서로의 군사작전을 저해하게 되는데, 공격하는 측의 경우에는 초기단계에서 전투력 발휘가 제한되며 태세가 혼란에 빠지기 쉽고, 기동과 지원 역시 제한되기 쉬우며 작전을 완전히 완료하기 전까지는 부대 및 장비품이 양쪽 연안으로 분리되는 사태를 피할 수 없다. 또한 도하를 위해서 특수한 장비 및 자재가 필요하다. 방어하는 측의 경우에는 종횡 각 방향에 대한 융통성이 없게 된다. 공격하는 측에서는 정밀도하를 시도할 경우 적의 대응에 의한 영향 및 피해를 최소한으로 줄이는 통합전투력의 발휘를, 급속도하를 시도할 경우 적의 대응을 앞서는 속도를 중시할 필요가 있으며, 이를 위해 가능한 한 적으로부터 멀리 떨어져서 도하하고 기도비닉 상태에서 기습적으로 도하할 필요가 있으며, 철저한 준비를 통해 동시에 도하하여야 한다. 또한 방어하는 측에서는 하천 장애물을 직접 이용할 수 있도록 노력하고, 가능한 한도 내의 융통성을 유지하도록 노력하여야 하며, 공격하는 측이 절반쯤 도하한 시기를 이용하여야 한다. 다만, 여기서의 절반이란 산술적인 절반이 아니라 도하를 진행중인 적의 병력이 양쪽 연안 및 하천 위로 따로따로 분리되어 연계성이 부족한 시기를 가리킨다."
17326,한.미 군사위원회,"1978년 제11차 한미안보협의회의에서 한미 양국간의 합의에 의해 같은해 7월에 구성된 한미간의 군사협의기관을 가리킨다. 한미연합사령부의 상위기관이며, 대한민국 방위를 위하여 상호 발전시킨 전략지시와 작전지침을 연합사령관에게 제공하는 것을 임무로 하며, 그 기능은다 한미 NCMA(National Command Military Authority:국가통수 및 군사지휘기구)와 연합사령관간의 의사소통 채널 역할을 수행하는 것과 국가정책과 NCMA의 일반적인 지침 범위내에서 긴급한 상황에 적시적으로 대응하는 것, 연합사령관이 작전통제할 한미군 부대들을 양국 NCMA에 건의하는 것, 그리고 NCMA의 전략계획에 대한 지원소요를 판단하여 연합사령관에게 전달 및 협조하는 것이다. 한미안보협의회의 개최시기와 맞추어 1년에 한 번씩(또는 필요시) 열리는 본회의 및 수시(일방 요청시)로 열리는 상설회의가 있다. 본회의는 공동대표인 연합사령관 외에 한국측 대표로 합참의장과 전략기획본부장이 참가하며, 미국측에서는 합참의장과 태평양사령관이 대표로 참가하며, 상설회의는 합참의장이 한국측 대표로, 주한미군 선임장교가 미 합참의장 대리 자격을 가지고 미국측 대표로 참석한다"
17327,한.미 상호방위조약,"한국전쟁의 휴전 이후 한국과 미국간의 상호방위를 위하여 체결된 조약을 가리킨다. 한국의 변영태(卞榮泰) 외무장관과 미국 J.F. 덜레스 국무장관이 서명하고 한미 양국의 대통령이 이를 비준하는 절차를 거쳐 1953년 10월 1일 체결되고 1954년 11월 조약 제34호로 발효되었다. 전문 6조로 되어 있으며 각 조항의 주요 내용은, 어떠한 국제적 분쟁이라도 국제적 평화와 안전과 정의를 위태롭게 하지 않는 방법으로 평화적 수단에 의하여 해결할 것(1조), 한미 양국 중 어느 1국의 정치적 독립 또는 안전이 외부로부터의 무력공격에 의하여 위협을 받고 있다고 어느 당사국이든지 인정할 때에는 언제든지 당사국은 서로 협의하고 무력공격을 저지할 적절한 수단을 지속, 강화시키며 그를 위한 조치를 취할 것(2조), 서로의 영토와 그를 위협하는 태평양 지역에 있어서의 무력공격에 공통으로 대처할 것(3조), 상호 합의에 의하여 미합중국의 육군해군과 공군을 대한민국의 영토내와 그 부근에 배치하는 권리를 대한민국은 이를 허여하고 미합중국은 이를 수락한다는 것.(4조), 조약의 비준과 발효에 대한 설명(5조), 어느 당사국이든지 타 당사국에 통고한 후 1년후에 본 조약을 종지시킬 수 있으며, 그 이전까지 조약은 무기한으로 유효함을 명시한 것(6조)이다. 이 조약에 근거하여 주한미군과 한미 연합사령부가 설치되었으며, 한반도에서 무력충돌이 발생할 경우 미국은 국제연합의 토의 및 결정을 거치지 않고 즉각 개입할 수 있게 되었다."
17328,한.미 안보협의회의,"한반도 안보에 관한 제반 문제의 협의를 위하여 한미 양국의 국방장관 사이에서 열리는 연례회의. 1968년 4월의 하와이 정상회담에서 한미 양국의 국방각료간의 연례회의를 여는 것을 합의한 이후 매년마다 한국과 미국에서 번갈아가며 개최되고 있다. 제 1차 회의는 1968년 5월에 있었으며, 이 때의 명칭은 한미 국방장관회담이었으나, 1971년 한국에서 개최된 제 4차 회의 때부터 한미 연례안보협의회의로 그 명칭을 개칭하여 지금에 이르고 있다. 기본적으로 한미 양국간의 군사정책을 협의 및 조정하는 기능을 수행하며, 군사위원회(MC)에 전략지침 및 지시를 하달한다. 군사위원회에 1977, 1978년에 하달된 전략지시 1호에 의해 1978년 11월 한미연합사가 탄생했다. 또한 군사위원회와 별도로 정책검토위 등 5개의 다른 위원회를 두고 있다. 군사위원회의 의장은 한미 합참의장이 맡는다."
17331,한강교 폭파,"한국전쟁 기간 중인 1950년 6월 28일 한강의 교량에 대하여 폭파를 행한 것을 가리킨다. 한강교 폭파는 전쟁 초기의 가장 큰 실수 중 하나로 꼽히는데, 이는 지나치게 일찍 행해진 교량 폭파로 인하여 서울 일원에 배치되었던 한국군 5개 사단과 각 지원부대의 퇴로가 차단되고, 그 결과로 한국군 총 병력의 절반 가까이에 해당하는 44,000여 명의 병력이 분산되었을 뿐 아니라 한국군의 주력이 보유했던 모든 중장비와 차량 그리고 곡사포. 박격포. 기관총 등과 같은 무거운 무기들을 대부분 강북지역에 유기할 수밖에 없었기 때문이었다. 또한 한강교가 폭파될 당시 교량을 건너고 있던 수많은 피난민들이 폭발에 휩쓸려 희생되고 말았다. 이러한 사태의 책임자를 규명하기 위해 군법회의가 열리게 되었는데, 신성모 국방부장관, 장경근 국방부차관, 채병덕 참모총장 등의 당시 군수뇌부는 모두 자신의 책임을 부인하였고 결국 폭파의 현장책임자였던 공병감 최창식 대령이 모든 책임을 지게 되어 1950년 9월 21일 총살되었다. 이후 1962년 유족에 의한 재심청구로 최창식 대령의 무죄가 인정되어 그 명예를 회복하게 되었다. 따라서 한강교 폭파에 대한 실질적인 책임자는 현재 법적으로는 아무도 없는 상태이다."
17356,한국 종단송유관,"주한미군의 유류수송을 위해 설치된 송유관으로 경북 포항에서 경기 의정부까지를 잇는 총연장 452km의 송유관으로, 1972~1973년 사이에 지하 1.5m 지하에 매설되었다. 송유관의 재질은 강철로 되어 있으며, 관의 두께는 6.4mm~11.7mm, 직경은 20~25cm이다.휘발유나 경유와 같은 경질유를 월평균 100만 배럴 이상 수송해 왔고, 한국의 정유회사들도 오랫동안 이 송유관을 빌려 사용해 왔다. 송유관의 수명이 다해갈 때쯤인 지난 1992년 소유주인 주한미군은 소유권을 국방부에 무상으로 넘겨주었으나, 송유관로의 노후화가 심하고 유류누출 사고가 빈발하여 2002년 국방부와 주한미군은 총연장 452km 중 350km을 폐쇄하고 대신 한국 정부가 매설한 남북송유관(SNP)으로 전환하기로 합의하고 사용 중인 TKP와 SNP를 연결하는 공사를 2002년 9월까지 마무리했다. 현재 사용되는 구간은 안양 인덕원에서 평택까지의 74km 구간과 대구비행장에서 왜관까지의 28km인데, 남은 구간 역시 노후구간인데다 기름 유출사고까지 일어나 지역민들의 반발을 사고 있다."
17410,함대,"1. 해군 편제상의 단위부대 명칭으로서, 작전 및 행정통제권을 행사하는 한 사람의 함대사령관과 그 지휘 하에 있는 각종 함정, 항공기, 해병부대 및 육상기지에 위치한 함대 부서로 구성되어 있는 편성체를 가리킨다. 한국 해군에는 현재 총 3개의 함대가 편성되어 각각 동, 서, 남해안을 담당하고 있다.  2. 한 나라의 해군에 속해 있는 해상세력을 총칭하는 말. 잠수함도 포함된다.  3. 두 척 이상의 군용 함정으로 편성되어 있는 해상부대. 잠수함의 경우에도 해당된다."
17469,함포지원사격,"상륙하는 부대를 지원하기 위해 상륙작전에 앞서, 혹은 상륙이 진행되는 동안 적 지상군 및 해안 구축물이나 해안포대 등의 해안 방어선에 함포를 사용하여 해상에서 포격을 가하는 것을 가리킨다. 현대적 의미에서의 함포지원사격은 제 2차 세계대전의 시실리 상륙작전 때 미군 순양함에 의해서 처음으로 사용되었는데, 이 때, 해안에 집결하던 독일 기갑부대에 커다란 피해를 주었던 것이 주목받아 이후 노르망디 상륙 작전 등에서도 이용되었으며, 한국전쟁 때의 인천 상륙작전 때도 본격적인 상륙에 들어가기 전에 함포 지원사격을 가했었다. 현대의 상륙작전에 있어서는 공중폭격과 더불어 거의 빼놓을 수 없는 요소가 되어 있다"
17553,합동감시표적 공격레이더체계,"주요 전장의 표적감시 임무를 수행하면서 적의 종심표적을 감시, 탐지 및 선정하고 이 자료를 지상수신소에 실시간으로 전파하며, 아군측에서 발사한 무기에 대한 추적 및 유도를 행하여 주요 표적 타격을 지원하는 등의 역할을 수행하는 지상전투 지원용의 C3I체계이다. 적 종심목표 탐지 능력을 이용하여 전선 후방에 배치된 적의 제 2제대가 최전선으로 이동하여 아군과 교전상태에 들어가기 이전에 적의 상황을 파악하여 미리 강타함으로서 제 2제대의 전선투입을 사전에 방해 및 봉쇄할 수 있기 때문에 공군, 육군간의 합동작전에 의한 공지전 개념의 종심전투를 보다 효과적으로 수행할 수 있다. E-8계열의 항공기가 주축이 되어 운용되며, 지상에는 E-8 항공기와 정보를 주고받기 위한 지상통신모듈(GSM:Ground Station Module)이 있다. 이를 위하여 JSTARS 체계는 데이터 전송용의 감시 및 제어 링크, 위성통신 링크 등을 구비하고 있으며, 음성통신장비로 비화능력이 있는 VHF무전기 12대, HF 무전기 2대, SINCGARS(single channel ground and airborne radio system) 무전기 3대 등을 갖추고 있다. E-8 항공기에는 다중 측방감시 레이더 안테나 (Multimode Side-Looking Radar Antenna)를 장착하고 있는데 이는 정지표적의 감시 및 위치 선정시에는 합성 개구레이더(SAR:Synthetic Aperture Radar)모드로 운용하고, 저속의 이동표적 추적 및 위치 선정시에는 도플러(doppler) 모드로 운용한다. 탐지거리는 약 200킬로미터이며, 탐지범위는 약 50,000 평방킬로미터에 달한다. 또한 항공기 내부에 17대의 운용자 콘솔과 전용 항법 워크스테이션을 가지고 있으며, 이들은 비행 경로 계획과 모니터를 행하는 동시에 맵(map) 데이터 및 레이더 관리, 감시 및 위협 분석, 레이더 데이터 검토, 도착시간 계산, 위치, 거리 및 방위각 계산, 표적에 대한 무장 할당 등을 수행하고 이를 디스플레이에 출력할 수 있으며, 기타 임무 수행을 위한 호스트 컴퓨터 역할을 하기도 한다. JSTARS 체계는 걸프전에서 그 뛰어난 성능을 입증해 보인 바 있다."
17681,항공고시보,"조종사를 비롯한 항공관련 종사자들이 적시 적절하게 반드시 알아야 할 공항시설, 항공업무, 절차 등의 변경 및 설정등에 관한 정보사항을 고시하는 것, 혹은 고시된 문서를 가리킨다. 항공고시보는 전파방식 및 내용에 따라 클래스과 클래스로 나뉘어지는데, 클래스은 신속히 주지시켜야 할 단기적 사항 혹은 돌발사항에 대한 내용을 담고 있으며, 국제민간항공기구(ICAO)에서 정한 노탐 전신부호를 이용하여 전문형식으로 고시문이 작성되며, 통신망을 통해 인쇄전신의 형태로 신속히 국내외의 전 기지에 전파된다. 클래스는 장기적인 사항에 대하여 상세하게 주지시킬 필요가 있을 경우에 이용되며, 인쇄물로 만들어 우편으로 배포하는 방식을 사용한다. 항공고시보의 내용은 비행을 행함에 있어 매우 중요한 정보이므로, 조종사는 반드시 비행 전에 비행지역에 대한 항공고시보를 확실히 점검할 필요가 있으며, 이를 참고로 하여 비행계획 작성을 실시하여야 한다."
17682,항공교통관제,"모든 가용수단을 이용하여 관할지역 내의 비행 안전과 질서 있고 신속한 항공기 이동을 보장하고 방공작전을 위한 항공기 식별업무를 지원하는 지상업무를 가리킨다. 비행정보업무, 경보업무와 더불어 항공교통업무의 일부로서, 공항내 이착륙 항공기 관제, 공항이동지역내의 항공기 및 차량 이동통제 등을 행하는 비행장관제업무, 접근관제구역내 출발 및 도착 항공기 관제 및 지역관제소 및 관제탑에 항공기 관제권 인수인계를 행하는 접근관제업무, 항공교통관제허가 발부, 항로비행 항공기 사이의 상승/강하 분리유지, 항로 악기상 회피, 공중충돌예방, 레이다 유도, 교통과 기상 및 항행안전시설에 관한 정보제공, 중앙방공통제소(MCRC:Master Control and Reporting Center)에 피아식별을 위한 비행정보 제공, 인접국의 항공교통관제소(ACC:Area Control Center) 및 국내 접근관제소와의 비행정보교환 및 항공기 관제권 인수인계 등을 행하는 지역관제업무로 나뉘어진다. 넓은 의미로는 비행정보업무 및 경보업무도 항공교통관제업무의 기능에 포함시키기도 한다"
17683,항공교통관제소,"비행정보구역(Flight Information Region:FIR) 내에서 비행하는 항공기에 대하여 항로관제, 항법보조, 비행 정보, 기상정보, 탐색 및 구조를 위한 정보를 제공하는 등의 항공교통업무를 수행하여 비행의 안전 및 효율을 도모하는 기관을 가리킨다. 한국은 한국전쟁 기간 중인 1952년 7월에 미 공군이 대구에 중앙항로관제소를 신설한 것이 항공교통관제소의 시초로, 1958년 1월에 한국 공군이 미 공군으로부터 중앙항로관제소를 인수받았고, 1968년 11월 미 공군이 팔공산에 창설한 고고도 항공관제소를 1973년 7월에 한국 공군이 인수하게 되었다. 이후 1995년 3월 건설교통부가 중앙항로관제소를 공군으로부터 인수하면서 명칭을 항공교통관제소로 개칭하였으며, 2001년 8월 항공교통관제소가 인천으로 이전하게 되면서 관제장비를 개량하여 현재에 이르고 있다."
17710,항공기 지뢰살포탄,"살포식 지뢰의 일종으로, 항공기로 살포되는 지뢰를 말한다. 항공기에 장착되는 완성탄 1발에 대인, 대전차 지뢰가 혼합 내장되어 있는 형태이며, 낙하후 고장 및 오동작을 막기 위해 지면에 착지시 충격을 감소시키기 위한 저항 날개가 부착되어있다. 살포 후 별도의 제거작업 없이 시한신관을 통한 자폭이 가능하며, 자폭시간은 4시간, 48시간, 15일의 3가지 형태로 전술 요구에 따라 무장 장착시 선택하여 운용한다."
17729,항공모함,"전투항공기를 탑재, 발진 및 착함시킬 수 있는 능력을 갖추어 입체적인 작전능력을 가지고고 있는 함선을 가리킨다. 자체적인 대공 및 대함방어능력을 어느 정도 갖추고 있는 것이 일반적이지만, 함대함 전투능력은 낮은 편이기 때문에 주로 호위임무를 띤 다른 전투함들과 같이 편성된 형태로 운용된다. 배수량 10만톤 가량의 니미츠급 대형 항모(미국)에서부터 배수량 1만톤 급의 차크리 나루에벳(태국)과 같은 소형 항모까지 다양한 종류가 존재하고 있으며, 배수량 및 항공기의 운용 방식에 따라 이륙용 캐터펄트와 착륙용 구속 와이어를 갖추고 대형 항공기를 다수 탑재하여 운용하는 미국식의 초대형 항모와 같은 운용성능을 가지지만 항공기의 탑재대수가 적은 중형항모, 앞의 두 가지와 같은 메커니즘으로 운용되지만 신세대 대형 항공기를 운용할 수 없어 구식 항공기만 사용 가능한 구식항모, V/STOL기를 탑재하고 점프대를 이용하여 STOL이륙시키고 수직으로 착함시키는 V/STOL항모 및 상륙임무에 주로 사용되며 때에 따라 V/STOL기를 탑재하기도 하지만 보통 헬기만을 탑재하여 이착륙시키는 헬기항모의 다섯 가지로 나뉘어진다. 다만, 이 중 헬기항모의 경우 상륙함으로서의 성격이 강하여 항공모함의 범주에 포함되지 않기도 한다. 항공기가 발명되기 이전인 19세기 말부터 항공모함에 대한 개념은 존재하고 있었으며, 1910년 미국에서 최초의 함상 이착륙 훈련이 실시되었고, 영국에서 1917년 경순양함을 개조하여 발함용, 착함용의 갑판을 갖춘 수상기 모함을 만들었다. 이후 1918년 영국에서 상선을 개조하여 발함용, 착함용의 갑판을 갖춘 동시에 앞뒤의 갑판 사이가 완전히 트여 있어 항공기가 함상의 전후를 자유롭게 오갈 수 있는 모함인 아거스가 개발되었다. 이것은 현대항공모함의 원형을 갖춘 최초의 본격적인 현대식 항공모함으로 일컬어진다. 이후 제 1차 세계대전과 제 2차 세계대전 사이의 기간 동안 세계 열강들은 각종 항공모함을 개발하였으나, 당시에는 항공기 자체의 성능이 부족하여 해상에서 운용되는 항공기는 전투를 통하여 해상제공권을 획득하는 임무보다는 정찰, 연락, 경계, 관측 등의 임무 쪽에 더 널리 사용되었기 때문에 항공모함도 어디까지나 전함을 주축으로 하는 함대의 보조적인 전력으로 인식되고 있었다. 그러나 1930년대 중반 이후부터 미국과 일본 등지에서 항모의 잠재력을 인식한 개념 및 작전이 등장하였고, 제 2차 세계대전 기간 동안 태평양전쟁에서 보여주었던 항모의 능력과 가능성으로 인하여 미국에서는 전함을 밀어내고 항모를 중심으로 한 함대편성이 이루어지기 시작하였으며, 타국에서도 항모에 대한 투자가 활발해졌다. 현대의 항공모함은 항모기동부대를 비롯한 해상전력의 중심세력으로서 중요한 역할을"
17732,항공정찰,항공기를 이용하여 지형이나 기상 및 적군의 상황 등에 대한 정보를 획득하기 위한 활동을 가리킨다. 정찰기를 이용하여 영상정보 및 신호정보를 수집하거나 다목적 전투기에 정찰 포드를 장착하여 전술정찰을 행하는 방식으로 항공정찰을 행하게 된다. 또한 공격 이후 목표의 파괴정도를 측정하는 전투피해평가 및 포병 및 함포사격의 수정을 위한 관측도 항공정찰의 범주에 포함된다.
17734,항공후방차단,"적의 군사잠재력이 아군의 육, 해군에 대하여 효과적으로 사용되기 전에 이를 교란, 지연 및 파괴하는 것을 목적으로 하는 항공작전을 가리킨다. 이는 화력지원협조선 근방에서 적 목표를 파괴하여 대기중 혹은 이동중인 적 전력이 전선으로 유입되는 것을 차단하는 전장항공차단(Battlefield Air Interdiction:BAI)과 적의 후방보급선을 차단하여 보급의 추진을 막거나 화력지원협조선보다 후방에 위치한 적 증원전력에 대하여 공격을 가해 적 전력이 전방으로 도달되는 것을 막는 항공후방차단(Air Interdiction:AI)으로 나뉘어진다. 항공후방차단은 긴 항속거리를 가진 전폭기를 이용하여 장거리침투 및 폭격을 행하는 공중타격 임무와 무장한 전폭기가 전선지역으로 향하는 적 병참선을 따라 비행하다가 이동중인 적 병력과 물자가 관측되는 즉시 파괴하는 무장정찰 임무로 다시 나뉘어진다. 전선보다 후방에 위치하는 군사잠재력에 대하여 공격을 가하는 것이기 때문에 효과의 즉시성 및 전선부대가 느끼는 체감 효과는 근접항공지원작전에 비하여 다소 떨어지는 편이며, 그 정도는 화력지원협조선 너머에서 임무를 수행하는 항공후방차단이 더 심한 편이다."
17764,항모강습부대,"항모기동부대의 한 형태로서, 타격작전능력을 보유한 항공모함과 지원전투함정으로 구성된 해군기동부대를 가리킨다. 주로 지상목표에 대한 공격을 담당하며, 탑재 항공기의 지상타격능력을 이용하여 해상으로부터 적의 지상부대나 주요시설에 대하여 강습을 행하거나 아군측 지상군에 대한 근접항공지원을 수행한다. 유효하게 운용될 경우 지상에서의 발진을 통해서는 타격할 수 없는 지역에 타격을 가할 수 있다거나 지상군이 비교적 열세한 상황에 놓여 있더라도 바다를 통해 우회하여 적군의 후방지역을 타격할 수 있다는 점에 메리트가 있으며, 실지로 한국전쟁 시기에는 항모강습부대를 유용하게 운용하여 지상군 전선이 남부지방에 있었던 7월 초에도 서해와 동해를 통해 북상한 항모강습부대가 해주와 평양, 원산, 함흥 등의 적 후방지역에 대한 공격을 행할 수 있었다."
17765,항모기동부대,"기동부대의 한 형태로서, 항공모함을 중심으로 하여 이를 호위하고 지원하는 역할을 맡은 순양함, 구축함 등의 여타 함정으로 편성된 기동부대를 가리킨다. 제 2차 세계대전 시기, 태평양전쟁에서 미, 일의 양국이 항공모함을 중심으로 한 해상작전부대를 편성하였던 것이 항모기동부대 운용의 시초라고 볼 수 있다. 초기의 항모기동부대는 항모 단독으로 작전을 행하면서 탑재 항공기를 통해 공격과 방어를 행하는 형태로 운용되었으나, 사상 최초로 이루어진 항모기동부대간의 결전이었던 1942년 5월의 산호해 해전에서 항모 단독으로 작전하는 항모기동부대가 공격력에 비하여 방어력이 극히 취약하다는 점이 드러나게 되어 이후 미 해군은 항모기동부대에 항모의 호위를 위한 순양함 및 구축함 등을 같이 편성시키게 되었다. 그러나 일본 해군은 이 교훈을 받아들이지 못하고 여전히 항모 단독의 항모기동부대를 주로 운용하였으며, 이것은 미드웨이 해전 대패의 주요 원인 중 하나로 꼽힌다. 제 2차 세계대전 이후의 항모기동부대는 거의 미 해군의 전유물이었으며, 현재에도 미 해군은 12척의 항모를 중심으로 하는 항모기동부대를 유지하면서 전 세계 어디에서도 작전을 수행할 수 있는 체제를 갖추고 있다. 현재 미 해군 항모기동부대의 전체 전력은 기타 전 세계의 해군전력을 모두 합친 것보다도 우위에 선다."
17918,해안두보,"상륙작전에 있어 해당 지역을 탈취하여 확보함으로써 아군부대 및 물자의 계속적인 상륙을 보장하며, 상륙한 부대의 지상작전에 필요한 기동공간을 제공해 주는 적 해안상의 지정된 지역을 가리킨다. 약칭하여 해두보라고 부르기도 한다. 지상전에서의 교두보와 유사한 역할 및 가치를 가지는 지역이며, 상륙작전의 목표지역이 되는 지점이다."
18009,핵배낭,"개인이 휴대할 수 있을 정도로 소형화된 핵무기를 가리키며, 배낭에 담아 휴대하기 때문에 핵배낭이라 불린다. 특수 공작원용으로 처음 개발되었으며, 무게는 약 30kg 내외로 위력은 최대 1kt에 이른다. 목표위치에 설치한 이후 시한신관 혹은 원격작동으로 폭발시키는 것이 일반적이나 로켓 런처 등으로 발사할 수도 있으며, 소련 붕괴 이후의 혼란기에 행방이 묘연해신 핵무기들 중 이러한 핵배낭들이 인간폭탄을 이용한 테러에도 이용될 수 있다는 점에서 위협이 되고 있다. 한국의 경우 85년경 주한미군에 배치된 일이 있으나, 90년대 초 당시 미국 대통령이었던 조지 H 부시의 결정으로 모두 철수한 것으로 알려져 있다."
18018,핵순항유도탄 잠수함,"순항유도탄을 주 무장으로 장착하고 핵 추진기관을 사용하는 잠수함을 가리킨다. 핵잠수함의 특성상 매우 은밀하게 움직일 수 있으며, 이를 이용하여 적에게 탐지를 당하지 않으면서 순항유도탄을 사용하여 목표를 정밀하게 타격할 수 있다는 점에서 매우 위협적인 무기이다. 탑재한 순항유도탄에 핵탄두를 장비할 경우 그 파괴력은 더욱 크게 증가하게 된다. 미국의 항공모함을 공격하기 위해 소련에서 개발한 에코급 잠수함이 그 시초로 미국은 1960년대 이후로 이러한 함종을 건조하지 않아왔으나, 현재는 로스엔젤레스급이나 오하이오급을 비롯한 일부의 미국 공격원잠에 토마호크 미사일을 탑재하여 핵순항유도탄 잠수함으로 운용하고 있다."
18055,핵차폐물,"원자로를 비롯한 방사선원으로부터 발생되어 나오는 감마선이나 중성자를 비롯한 각종 방사선이 물체, 혹은 인체를 투과함으로서 일어나는 영향을 줄이기 위하여 방사선원의 주위에 설치하는 차폐체를 말한다. 차폐물질로는 물, 철, 납, 콘크리트 등이 있으며, 방사선의 종류에 따라 이들을 여러 물질적인 형태로 만들어 사용한다. 선은 고무, 플라스틱 장갑 등으로 차폐 가능하며, 선은 알루미늄, 플라스틱판, 유리로, X선이나 선은 콘크리트, 철, 납을 차폐체로 사용하며, 중성자선은 가장 복잡하여 원자번호가 큰 물질로 에너지를 감소시킨 후 수소를 많이 함유한 물, 파라핀 등으로 다시 에너지를 감소시켜 열중성자를 만들고 B-10 이나 Cd등과 핵반응을 일으켜 정지시킨다. 반응과정에서 선 혹은 선이 방출되므로 이것에 대한 차폐도 별도로 필요하다. 다만, 장비가 소규모인 경우에는 내측에 철, 외측에 콘크리트, 파라핀블록, 물 등을 차폐체로 사용한다. 차폐물의 두께는 방사선원의 형태, 종류 등에 따라 적확한 계산을 할 필요가 있다."
18056,핵탄도유도탄 잠수함,"전략 핵탄도유도탄을 주 무장으로 장착하고 핵추진기관을 사용하는 잠수함을 가리킨다. 다른 핵잠수함과 같이 특성상 매우 은밀하게 움직일 수 있으며, 이를 이용하여 적에게 탐지를 당하지 않으면서 공격을 가할 수 있다는 점에서 탄도유도식 전략핵미사일의 발사 플랫폼으로서 매우 이상적인 조건을 갖추고 있다. 1959년 개발된 조지워싱턴호(폴라리스 미사일 16기 탑재)가 미국 핵탄도유도탄 잠수함의 기본형이 되었으며, 소련에서도 이러한 잠수함의 개발에 박차를 가하여 현재는 미국의 오하이오급과 잠수함으로서는 가장 대형인 러시아의 타이푼급이 양국의 주력 핵탄도유도탄 잠수함으로 운용되고 있다. 오하이오급에는 트라이던트미사일이, 타이푼급에는 SS-N-20 미사일이 탑재되어 있다."
